what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334431052000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334431053416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431056338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431058889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1334431059274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431061324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431062527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431067316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431072765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431073061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431073576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334431074004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334431079218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431087164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431087412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431087452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431087492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431087714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431087873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334431088040
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1334431088921
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1334431093089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334431098873
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1334431103483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431104114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431117240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431171182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431172863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431174414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431175536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431177773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431301584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431304444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431308229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431311530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431312597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1334431313372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431318048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431319507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431327764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334431328734
